Cover You In Rubber,Resistance Band,0,0,0,0,0,RB Pulldown,RB Reverse Curl,RB Tricep Pushdown,RB Oblique Crunch, ,
All The Kettlebells,Kettlebell,0,0,0,1,0,KB Swing,KB Clean L,KB Clean R,KB High Pull, ,
Do The Worm,Bodyweight,0,0,0,0,0,Push Up,Reverse Angels,Inch Worm (Walk Out),Mountain Climber, ,
Plank and Push Ups,Bodyweight,0,0,0,0,0,Push Up,Side Plank,Plank With Shoulder Tap,Side Plank, ,
Six Pack (XXXX),Bodyweight,0,0,0,0,0,Dead Bug,Ab Crunch,Reverse Crunch,Oblique Crunch, ,
Abducted,Resistance Band,0,0,0,0,0,Bridge Abduction,Seated Abduction,Standing Abduction,Kickbacks, ,
Lunges and Stuff,Bodyweight,0,1,1,0,0,Lunge With Leg Extension,Hindu Push-Up,Lunge With Leg Extension,Hindu Squat, ,
Barbell Launch,Barbell,0,0,0,0,0,Bb Front Raise,Bb Drag Curl,Bb Upright Row,Bb Over The Head, ,
Big Beards,Bodyweight,0,1,0,0,0,Arabesque R,Arabesque L,Reverse Lunge R,Reverse Lunge L, ,
Suffer Ring,Barbell,1,1,1,0,0,Overhead Press,Front Squats,Row,Reverse Lunge, ,
Solja Boi,Bodyweight,0,0,1,0,0,Plie Squats,Push Up,Rainbow Plank,Supermans, ,
Bend Over And Squat,Barbell,1,0,1,0,1,Jump Squats,Bent Over Row,Push Press,Reverse Grip Rows, ,
All Of The Soreness,Bodyweight,0,0,0,0,0,Reverse Crunches,Crunches,Side Planks,Hundreds, ,
Butt Is Burning,Bodyweight,0,0,1,0,0,Reverse Burpee,Walk out,Cossack Squats,Squat hold with pulse, ,
Looks Painful,Dumbbell,1,0,0,0,0,DB Clean and Press,DB Renegade Row,DB RDL,DB Push Press, ,
That Will Buff Out,Kettlebell,0,0,1,1,0,KB Swing,KB Pass Through L,KB High Pull,KB Pass Through R, ,
Quickie,Dumbbell,0,0,0,0,0,Curl to press,DB Renegade Row,Plank with DB slide,Alternating side plank, ,
Fan Belt,Resistance Band,1,0,1,0,0,RB face pull,RB rotations,RB row,RB pull aparts, ,
